,ref_point_lat,ref_point_lon,objectid,fac_type,loc_id,region_code,state_name,county,fac_name,lat,lon,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec
48,47-51-57.6370N,119-56-33.7260W,18453,AIRPORT,S10,ANM,WASHINGTON,CHELAN,LAKE CHELAN,47.87,-119.943,122.90899999999999,141.90399999999997,126.60600000000001,145.53000000000003,280.2339999999999,135.563,130.634,136.26999999999998,111.76500000000001,132.039,122.29600000000002,110.304
49,47-54-01.0000N,119-53-45.0000W,18455,AIRPORT,9WA,ANM,WASHINGTON,DOUGLAS,RIVERVIEW AIRPARK,47.9,-119.896,122.90899999999999,141.90399999999997,126.60600000000001,145.53000000000003,280.2339999999999,135.563,130.634,136.26999999999998,111.76500000000001,132.039,122.29600000000002,110.304
50,47-30-10.0000N,117-38-52.0000W,18456,AIRPORT,WA49,ANM,WASHINGTON,SPOKANE,FLYING R RANCH,47.5,-117.648,174.39,190.405,177.706,183.726,340.998,159.161,155.00800000000004,151.494,149.12200000000004,179.045,191.176,170.91699999999997
51,47-31-22.0000N,117-32-17.0000W,18457,AIRPORT,WT24,ANM,WASHINGTON,SPOKANE,REED,47.52,-117.538,143.85199999999998,157.20399999999998,145.60699999999997,156.18299999999996,291.0420000000001,132.094,133.69699999999997,131.648,124.20299999999997,147.648,149.98600000000002,131.42300000000003
52,47-31-02.0000N,117-32-03.0000W,18458,AIRPORT,WT04,ANM,WASHINGTON,SPOKANE,SILVERBIRD,47.52,-117.534,143.85199999999998,157.20399999999998,145.60699999999997,156.18299999999996,291.0420000000001,132.094,133.69699999999997,131.648,124.20299999999997,147.648,149.98600000000002,131.42300000000003
53,48-18-50.6890N,117-44-36.2050W,18459,AIRPORT,1S9,ANM,WASHINGTON,STEVENS,CHEWELAH MUNI,48.31,-117.743,106.77900000000002,117.51700000000001,111.00099999999998,119.30300000000001,223.23899999999998,99.89999999999999,106.05799999999999,107.34,97.48299999999998,110.60399999999998,106.16999999999997,92.81400000000002
54,47-58-51.5800N,117-31-43.8700W,18464,AIRPORT,C72,ANM,WASHINGTON,SPOKANE,CROSS WINDS,47.98,-117.529,143.85199999999998,157.20399999999998,145.60699999999997,156.18299999999996,291.0420000000001,132.094,133.69699999999997,131.648,124.20299999999997,147.648,149.98600000000002,131.42300000000003
55,47-11-39.2739N,120-53-02.5274W,18465,AIRPORT,S93,ANM,WASHINGTON,KITTITAS,CLE ELUM MUNI,47.19,-120.884,103.87799999999999,140.941,116.03700000000002,123.085,244.82299999999992,122.582,116.53199999999998,120.97599999999998,107.44500000000002,130.55,121.06199999999998,120.44
56,47-10-39.2920N,120-51-09.5790W,18466,AIRPORT,2W1,ANM,WASHINGTON,KITTITAS,DE VERE FIELD,47.18,-120.853,103.87799999999999,140.941,116.03700000000002,123.085,244.82299999999992,122.582,116.53199999999998,120.97599999999998,107.44500000000002,130.55,121.06199999999998,120.44
57,47-50-02.0000N,117-15-49.0000W,18467,AIRPORT,WA21,ANM,WASHINGTON,SPOKANE,SUNSHINE ACRES,47.83,-117.264,129.34800000000004,140.07,133.82199999999997,142.4,264.01699999999994,122.62599999999999,123.657,124.44999999999996,116.79500000000004,138.195,138.00200000000004,120.95199999999998
58,47-50-00.0000N,117-16-25.0000W,18468,AIRPORT,63WA,ANM,WASHINGTON,SPOKANE,BOYLE R & D,47.83,-117.274,129.34800000000004,140.07,133.82199999999997,142.4,264.01699999999994,122.62599999999999,123.657,124.44999999999996,116.79500000000004,138.195,138.00200000000004,120.95199999999998
59,46-51-31.3460N,117-24-50.6920W,18469,AIRPORT,S94,ANM,WASHINGTON,WHITMAN,PORT OF WHITMAN BUSINESS AIR CENTER,46.86,-117.414,163.32,176.44900000000004,165.91000000000003,165.82300000000004,304.324,147.647,140.36800000000002,137.04700000000003,135.31000000000003,167.64099999999996,177.534,166.56200000000007
60,46-40-21.9000N,117-26-30.0000W,18471,AIRPORT,00W,ANM,WASHINGTON,WHITMAN,LOWER GRANITE STATE,46.67,-117.442,163.32,176.44900000000004,165.91000000000003,165.82300000000004,304.324,147.647,140.36800000000002,137.04700000000003,135.31000000000003,167.64099999999996,177.534,166.56200000000007
